builder_id,Builder_name,Builder_ratings
100497.0,Pacifica Companies,3
1384891.0,Hekan Buildcon,2
1255155.0,Samay Realtors,4
100453796.0,Resolute Property Solutions,4
552747.0,Arista Buildcon,5
829692.0,Trimurti Infrabuild,3
100278897.0,Prakalp Infrastructure,4
100136867.0,Sadguru Infra Ahmedabad,2
101855.0,Narayan Krupa,3
1313299.0,Kavisha Group,5
1370522.0,Ojas Enterprise,2
572790.0,Polaris Infracon,5
109508.0,A Shridhar Construction,4
1306309.0,Aahna Buildspace,5
1154636.0,Madhav Associate,5
1376997.0,Milap Infracon,3
105172.0,BR Developers,2
618429.0,Ashapura Infratech,5
1446037.0,SS Reality,3
554861.0,Shiv Infraspace,5
100544387.0,Ratnabhumi Developers,2
100009578.0,Dharti Developers Gujarat,3
100280298.0,Aristo Lifespaces,4
100454592.0,Sattva Infrabuild,2
102182.0,Ozone India,5
1150727.0,Status Buildcon,2
553195.0,Akshar Infrastructure Ahmedabad,2
110043.0,Panchsheel Group,2
109522.0,Riddhi Siddhi,3
105534.0,Unique Infraspace,2
100176109.0,Vikas Infralink,2
2028430.0,MS Sky Developers,3
2135625.0,Sun Constructions Ahmedabad,5
102236.0,Goyal And Co Hariyana Group,2
1484489.0,Skyline Developers Ahmedabad,5
1291046.0,Shyam Enterprise Ahmedabad,4
109780.0,Gopi,5
1371711.0,Shantikrupa Estates,3
579584.0,Maruti Infracon,5
105617.0,Samved Engineers,3
567281.0,Goyal AND Co Construction gandhinagar,3
101671.0,Ganesh Housing,3
576913.0,Parishram Group,5
553385.0,Shafalya Group,3
1443835.0,Aadarshraj Developers,5
100633388.0,Keshvam Developers,5
103637.0,Shree Siddhi Group,2
100060981.0,Sheladia Projects,3
1438035.0,United Spacelink,5
101075.0,Maruti Group,2
619002.0,Shree Narayan Corporation,5
1445805.0,Colin Group,2
100369643.0,Dev Enterprise Ahmedabad,2
102091.0,Aroma Realties,3
101885.0,Chanchal,3
109624.0,Prathna Buildcon,2
590169.0,Alpesh Infrastructure,4
1655538.0,Atishay Shivalay Group,4
1463002.0,Shilp Dvelopers,2
106135.0,Vandemataram Group,4
100363527.0,Atharva Group,2
1590438.0,Shikhar Infra,4
100408279.0,SP Ahmedabad,5
100638.0,Agarwal,3
595748.0,E City,5
101828.0,Safal Realty,2
1220251.0,Aastha Properties Ahmedabad,5
1470683.0,Vikas Real Estate Developers,3
102535.0,Saumya Construction,2
1160535.0,Western Project,5
1406002.0,Riviera Reality,3
100166647.0,DHS Infrastructures,4
105773.0,Setu Developers,4
102462.0,Popular Infra,4
100086385.0,Gajanand Corporation,5
560879.0,Arista Life Spaces,2
100052842.0,Bhoomi Enterprise Gandhinagar,3
1220525.0,Kavisha Infrastructure,3
781191.0,Navkar Infrastructure,3
100240179.0,V3 Construction Company,2
650751.0,Sushrut Enterprises,2
100451.0,Bsafal,4
2144029.0,Shraddha Builders Ahmedabad,3
100302782.0,Vivswastik Buildcon,3
100002596.0,Ratnaakar Infratech,2
102552.0,Synthesis Spacelinks,3
108599.0,Sheladia Group,2
737779.0,Sigma Golden Infra,3
100335.0,Shubh Promoters And Developers,3
102540.0,Kamnath,5
105163.0,Adi Heritage,4
1278605.0,Earth Enterprise,2
102668.0,Sahara,4
551008.0,Zodiac,3
105612.0,Pushpak Construction,3
567198.0,Goyal And Co Construction,3
102283.0,B Desai Group,4
100531673.0,Dev Aashish Group,3
1253865.0,Shri Parshva Spacecon,2
100102415.0,Kavisha Infrastructure Ahmedabad,3
264510.0,Kaival,4
806166.0,Janki Developers,3
104726.0,Sureel Group,3
100440098.0,Synthesis Framework Llp,5
109608.0,Shree Radha Krishna,4
101554.0,Savaliya Builders,2
105097.0,Tithi Developers,3
105096.0,Sambhav Infrastructure,3
554363.0,Shripad Group,2
109524.0,Sarjan,2
101908.0,Art Nirman,4
1840666.0,Mahabal Infra Build,5
1255398.0,Het Infrastructure,5
567273.0,Atri Infrastructure,2
100097180.0,Neelkanth Realty Ahmedabad,5
557541.0,Kala Developers,2
106430.0,Shyam Group,3
575959.0,Shreeji Developers Ahmedabad,4
100252834.0,Aarmor Infrabuild,3
1219861.0,Krishna Associates Ahmedabad,3
104498.0,Navratna,3
1871531.0,Akshar Infra,3
101861.0,Sapphire Group,5
104471.0,Balleshwar Construction Company,2
1438279.0,Sai Green Builders,5
100032541.0,R C Associates,4
1146132.0,Sun Buildcon,3
572894.0,Iscon Group Builders,5
1255445.0,Aaryan Projects Ahmedabad,4
102271.0,Kavisha Corporation,3
637354.0,Flora,3
1665676.0,SK Developers Ahmedabad,3
104930.0,Lord Group,4
101508.0,Divyajivan,3
596080.0,JVR Infra,3
100530408.0,Safal Goyal Realty,5
100442.0,Sandesh Procon,5
570629.0,Jayshri Structures,3
109382.0,Unity,4
1346574.0,Shri Barfani Dadaji Buildcon,5
100302792.0,Rudransha Green LLP,5
100440562.0,Alok Developers Shilaj,2
104280.0,Arvind Smartspaces,4
106793.0,Khyati Realities,2
312852.0,Dharti Infrastructure,4
829276.0,Shree Siddhi Corporation,2
830380.0,Omkar Developers Ahmedabad,4
1596069.0,Avishkar Buildcon,4
105688.0,Shilp Group,2
579648.0,Shree Hari Enterprises,5
1665126.0,Raghav Buildcone,5
567230.0,Shree Sarju Developers,2
1378463.0,Eklingji Projects,4
547910.0,Nebula Companies,2
101236.0,Royal,5
1220590.0,Sunrise Buildcon Ahmedabad,4
551520.0,Satyamev Developers,5
105157.0,Swastik Developers Ahmedabad,4
829052.0,Swastik Builders Ahmedabad,2
1255799.0,Shree Ashtavinayak Infrastructure,3
1601619.0,Chetak Builders,2
108242.0,UK,2
575918.0,Shree Rang Sarthak Corporation,4
104956.0,Aaryan Group Ahmedabad,5
607368.0,Sampad Developers,2
103042.0,Mahavir Developers,4
1219651.0,H R Infra,2
1278039.0,Zircon Infrastructure,5
740410.0,Aamrakunj Reality LLP,5
567213.0,Padmanabh Developer,4
567205.0,Neelkanth Developers Ahmedabad,2
829669.0,Jay Buildcon,3
578918.0,Teraiya Group Ahmedabad,2
594781.0,Gulmohar Buildcon,2
108514.0,Harmony Developers,3
100038593.0,Mangalam Infracon,2
1144785.0,Kalhaar Developers,4
1788168.0,Captown Infracon,5
100460402.0,Shafalya Infra LLP,2
100071441.0,Greenera Infrawell,3
579062.0,Avaneesh Infrastructure,5
100835.0,Radhe Infrastructure,4
105162.0,Shagun Constructions,3
100075406.0,Kinjal Exports,2
102003.0,Aaryavart Developers,2
620818.0,Sarovar,4
104977.0,Merlin Group,3
578613.0,Yashasvi,4
